"filename", "language", "Markdown", "HTML", "JavaScript", "Vue", "Less", "CSS", "XML", "JSON", "SQL", "comment", "blank", "total"
"d:\留言网站\MessageWall\Web\src\components\mobile\WallMessage.vue", "Vue", 0, 0, 0, 341, 0, 0, 0, 0, 0, 25, 21, 387
"d:\留言网站\MessageWall\Web\src\components\mobile\index.vue", "Vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 36
"d:\留言网站\MessageWall\Web\src\components\pc\CardDetail.vue", "Vue", 0, 0, 0, 203, 0, 0, 0, 0, 0, 8, 14, 225
"d:\留言网站\MessageWall\Web\src\components\pc\FootBar.vue", "Vue", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\留言网站\MessageWall\Web\src\components\pc\IModal.vue", "Vue", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 3, 106
"d:\留言网站\MessageWall\Web\src\components\pc\Ibutton.vue", "Vue", 0, 0, 0, 70, 0, 0, 0, 0, 0, 2, 1, 73
"d:\留言网站\MessageWall\Web\src\components\pc\NewCard.vue", "Vue", 0, 0, 0, 306, 0, 0, 0, 0, 0, 14, 30, 350
"d:\留言网站\MessageWall\Web\src\components\pc\NodeCard.vue", "Vue", 0, 0, 0, 129, 0, 0, 0, 0, 0, 2, 8, 139
"d:\留言网站\MessageWall\Web\src\components\pc\PhotoCard.vue", "Vue", 0, 0, 0, 99, 0, 0, 0, 0, 0, 2, 19, 120
"d:\留言网站\MessageWall\Web\src\components\pc\TopBar.vue", "Vue", 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 5, 88
"d:\留言网站\MessageWall\Web\src\components\pc\Viewer.vue", "Vue", 0, 0, 0, 133, 0, 0, 0, 0, 0, 2, 18, 153
"d:\留言网站\MessageWall\Web\src\main.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"d:\留言网站\MessageWall\Web\vite.config.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 3, 26
"Total", "-", 19, 479, 558, 3070, 52, 521, 88, 5386, 36, 262, 444, 10915
